init?shape0?pos_derivs[[250, 250], [10, -30], [0, 9.81], [0, 0]]?rot_derivs[[0, 0], [0, 0], [0, 0], [0, 0]]?height5?width5?
0?pos_derivs[[250, 250], [10, -30], [0, 9.81], [0, 0]]?
0?pos_derivs[[344.0, 401.4058000000003], [10.0, 62.213999999999906], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[344.5, 404.52876250000025], [10.0, 62.7044999999999], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[345.0, 407.67625000000027], [10.0, 63.1949999999999], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[345.5, 410.84826250000026], [10.0, 63.6854999999999], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[346.0, 414.04480000000024], [10.0, 64.1759999999999], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[346.5, 417.26586250000025], [10.0, 64.6664999999999], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[347.0, 420.51145000000025], [10.0, 65.1569999999999], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[347.5, 423.78156250000023], [10.0, 65.6474999999999], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[348.0, 427.07620000000026], [10.0, 66.13799999999989], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[348.5, 430.39536250000026], [10.0, 66.62849999999989], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[349.0, 433.73905000000025], [10.0, 67.11899999999989], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[349.5, 437.1072625000002], [10.0, 67.60949999999988], [0.0, 9.81], [0, 0]]?
